[0.0, 94.28, 659.97, 1084.23, 1084.23, 1084.23, 1909.19, 2474.87, 2616.3, 3936.23, 4054.08, 4313.35, 4714.05, 6103.51, 7495.33, 7518.9, 7707.46, 7919.6, 8084.59, 8343.86, 8757.91, 8856.91, 8938.22, 8956.69, 9050.97, 9050.97, 9098.11, 9333.81, 9375.06]
[94.28, 0.0, 565.69, 989.95, 989.95, 989.95, 1814.91, 2380.59, 2522.01, 3841.95, 3959.8, 4219.07, 4619.76, 6009.23, 7401.05, 7424.62, 7613.18, 7825.31, 7990.31, 8249.58, 8663.63, 8762.62, 8843.94, 8862.41, 8956.69, 8956.69, 9003.83, 9239.53, 9280.78]
[659.97, 565.69, 0.0, 424.26, 424.26, 424.26, 1249.22, 1814.91, 1956.33, 3276.26, 3394.11, 3653.38, 4054.08, 5443.54, 6835.37, 6858.94, 7047.5, 7259.63, 7424.62, 7683.89, 8097.94, 8196.94, 8278.26, 8296.72, 8391.0, 8391.0, 8438.14, 8673.84, 8715.09]
[1084.23, 989.95, 424.26, 0.0, 0.0, 0.0, 824.96, 1390.64, 1532.06, 2852.0, 2969.85, 3229.12, 3629.81, 5019.28, 6411.1, 6434.67, 6623.23, 6835.37, 7000.36, 7259.63, 7673.68, 7772.67, 7853.99, 7872.46, 7966.74, 7966.74, 8013.88, 8249.58, 8290.83]
[1084.23, 989.95, 424.26, 0.0, 0.0, 0.0, 824.96, 1390.64, 1532.06, 2852.0, 2969.85, 3229.12, 3629.81, 5019.28, 6411.1, 6434.67, 6623.23, 6835.37, 7000.36, 7259.63, 7673.68, 7772.67, 7853.99, 7872.46, 7966.74, 7966.74, 8013.88, 8249.58, 8290.83]
[1084.23, 989.95, 424.26, 0.0, 0.0, 0.0, 824.96, 1390.64, 1532.06, 2852.0, 2969.85, 3229.12, 3629.81, 5019.28, 6411.1, 6434.67, 6623.23, 6835.37, 7000.36, 7259.63, 7673.68, 7772.67, 7853.99, 7872.46, 7966.74, 7966.74, 8013.88, 8249.58, 8290.83]
[1909.19, 1814.91, 1249.22, 824.96, 824.96, 824.96, 0.0, 565.69, 707.11, 2027.04, 2144.89, 2404.16, 2804.86, 4194.32, 5586.14, 5609.71, 5798.28, 6010.41, 6175.4, 6434.67, 6848.72, 6947.72, 7029.03, 7047.5, 7141.78, 7141.78, 7188.92, 7424.62, 7465.87]
[2474.87, 2380.59, 1814.91, 1390.64, 1390.64, 1390.64, 565.69, 0.0, 141.42, 1461.35, 1579.21, 1838.48, 2239.17, 3628.64, 5020.46, 5044.03, 5232.59, 5444.72, 5609.71, 5868.99, 6283.04, 6382.03, 6463.35, 6481.81, 6576.09, 6576.09, 6623.23, 6858.94, 6900.18]
[2616.3, 2522.01, 1956.33, 1532.06, 1532.06, 1532.06, 707.11, 141.42, 0.0, 1319.93, 1437.78, 1697.06, 2097.75, 3487.22, 4879.04, 4902.61, 5091.17, 5303.3, 5468.29, 5727.56, 6141.62, 6240.61, 6321.93, 6340.39, 6434.67, 6434.67, 6481.81, 6717.51, 6758.76]
[3936.23, 3841.95, 3276.26, 2852.0, 2852.0, 2852.0, 2027.04, 1461.35, 1319.93, 0.0, 117.85, 377.12, 777.82, 2167.28, 3559.1, 3582.67, 3771.24, 3983.37, 4148.36, 4407.63, 4821.68, 4920.68, 5001.99, 5020.46, 5114.74, 5114.74, 5161.88, 5397.58, 5438.83]
